DB_level,frequency,microphone_intensity
52.0,400,0.0093727427075249
53.0,400,0.004626707544311
54.0,400,0.0050358543835885
54.0,400,0.0073769654687959
55.0,400,0.0075615816470855
56.5,400,0.0083786389264706
58.0,400,0.0094474395514416
58.0,400,0.0100024979496003
60.0,400,0.0108227622823204
62.0,400,0.0146968038495759
63.0,400,0.0127677415995661
64.0,400,0.0193152158084044
65.0,400,0.0231976034696129
66.0,400,0.0173921768887355
66.0,400,0.0220704787672141
66.5,400,0.0248764166593427
68.0,400,0.0256548832035999
68.5,400,0.0261603697563299
69.0,400,0.0417722552279473
69.5,400,0.0358230360875914
74.0,400,0.0434886753588005
72.0,400,0.0537061111638817
71.0,400,0.0406559962417962
73.0,400,0.0527927403225059
76.0,400,0.0861147843654664
84.0,400,0.1517316036367527
61.0,600,0.0073930112954799
64.0,600,0.0109378649449826
66.0,600,0.0090811532458129
67.5,600,0.008587407207377
68.0,600,0.0117741082463827
69.0,600,0.0115890808560948
66.0,600,0.0144076291787203
69.0,600,0.0143113255941285
72.0,600,0.0191182900796905
73.0,600,0.0177454814110226
73.0,600,0.0175752899679302
72.0,600,0.0214857757555974
72.0,600,0.0204384400380694
72.0,600,0.0250972704421928
71.0,600,0.0289473378486985
72.0,600,0.0337957044584459
74.0,600,0.0309523559228719
75.0,600,0.0270885635465748
76.0,600,0.0283845274223481
77.0,600,0.0459428404291821
78.4,600,0.0461998663610864
77.0,600,0.0310636927209713
80.0,600,0.042659998278082
80.0,600,0.0520663749784946
81.0,600,0.0608960525015084
58.0,800,0.0051568736237668
63.0,800,0.0093777760282067
68.0,800,0.0118692628094017
72.0,800,0.02323177402645
74.0,800,0.0269739688177758
76.0,800,0.036130870930252
77.0,800,0.0441585966400584
78.0,800,0.0438777090512623
81.0,800,0.0503233037550673
83.0,800,0.0646294265477076
80.0,800,0.0797196223294208
86.0,800,0.0910676912508004
85.0,800,0.101229613727425
86.0,800,0.1040555008051732
86.0,800,0.123033603584675
88.0,800,0.1474929621424247
89.0,800,0.159265728084736
89.0,800,0.1662778233718035
90.0,800,0.1749421692596908
90.0,800,0.1758861428441497
91.0,800,0.1923612906456783
92.0,800,0.2191449584782171
92.0,800,0.2102717218980115
91.0,800,0.2045545574259327
55.5,1000,0.0051528336190044
63.5,1000,0.0065635271067546
64.5,1000,0.008415772935699
62.0,1000,0.0079578043291937
70.5,1000,0.008494074418741
77.0,1000,0.0093562103960475
79.0,1000,0.0148790124367881
86.0,1000,0.0494246519320932
86.0,1000,0.0238017411909402
89.0,1000,0.064725496462705
88.0,1000,0.0596731060392826
96.0,1000,0.1316994628602817
100.0,1000,0.151876383963573
102.0,1000,0.1922765942272635
57.0,1200,0.0064531749807632
60.0,1200,0.0103609319331691
66.0,1200,0.0114441370397777
68.0,1200,0.0154291793903882
71.0,1200,0.0203175338117028
72.0,1200,0.0336427354775089
74.0,1200,0.0341769585602555
76.0,1200,0.0408412300177614
78.0,1200,0.0532237763511557
77.0,1200,0.0591193704718502
80.0,1200,0.0627974367748503
81.0,1200,0.0842705208302517
83.0,1200,0.0971871185957937
83.0,1200,0.1086123774722773
84.0,1200,0.1148696903121694
84.0,1200,0.1225276788565532
85.0,1200,0.0966285858732475
86.0,1200,0.1157631863296167
84.0,1200,0.0851565969427701
84.0,1200,0.0996992323057788
84.0,1200,0.1019599851472491
80.0,1200,0.0860934402546148
81.0,1200,0.085324538994037
86.0,1200,0.1585717308848597
88.0,1200,0.1863985532230508
90.0,1200,0.216099261287649
93.0,1200,0.2943256863497066
93.0,1200,0.3827201047953969
50.0,1400,0.005161755665633198
51.0,1400,0.004930476820464698
47.0,1400,0.004693226845499396
53.0,1400,0.0054324726817918095
56.0,1400,0.004833096059196055
58.0,1400,0.00498248785980545
59.0,1400,0.006590610798390819
68.0,1400,0.011279574500024345
61.0,1400,0.01412830841818815
64.0,1400,0.014421037103353476
63.0,1400,0.024067519788655182
70.0,1400,0.02244201547346148
62.0,1400,0.03270539886496969
72.0,1400,0.03698992811431202
74.0,1400,0.0383276950624623
75.0,1400,0.062168082655057855
79.0,1400,0.06108286196263152
88.0,1400,0.1813458938538616
91.0,1400,0.15605104184876542
